chapter,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust,word_counts,chapter_names,file
1,16.0,23,8.0,28.0,14.0,34.0,39,14.0,9.0,37,1137,SURA LXXIV.-THE ENWRAPPED1 [II.],Koran
2,6.0,19,5.0,13.0,13.0,13.0,36,5.0,4.0,27,752,SURA LXXIII. THE ENFOLDED1 [III.],Koran
3,1.0,6,3.0,4.0,8.0,9.0,18,3.0,0.0,14,316,SURA XCIII.1-THE BRIGHTNESS [IV.],Koran
4,1.0,4,1.0,2.0,3.0,2.0,6,2.0,2.0,4,72,SURA XCIV.-THE OPENING [V.],Koran
5,0.0,1,2.0,1.0,1.0,5.0,5,0.0,0.0,3,127,SURA CXIII.-THE DAYBREAK [VI.],Koran
6,0.0,2,1.0,2.0,2.0,2.0,5,0.0,1.0,3,54,SURA CXIV.-MEN [VII.],Koran
7,1.0,10,2.0,4.0,10.0,7.0,23,3.0,3.0,14,414,SURA I.1 [VIII.],Koran
8,0.0,10,1.0,10.0,9.0,2.0,11,0.0,0.0,11,124,SURA CIX.-UNBELIEVERS [IX.],Koran
9,0.0,3,0.0,3.0,3.0,0.0,4,0.0,0.0,3,40,SURA CXII.-THE UNITY [X.],Koran
10,1.0,4,1.0,5.0,3.0,5.0,6,4.0,0.0,4,149,SURA CXI. ABU LAHAB [XI.],Koran
11,2.0,4,4.0,3.0,3.0,5.0,5,1.0,2.0,4,57,SURA CVIII.-THE ABUNDANCE [XII.],Koran
12,2.0,2,2.0,7.0,5.0,3.0,8,0.0,1.0,7,94,SURA CIV.-THE BACKBITER [XII.],Koran
13,1.0,2,1.0,3.0,2.0,4.0,3,2.0,1.0,3,68,SURA CVII.-RELIGION [XIV.],Koran
14,0.0,1,0.0,1.0,1.0,0.0,6,0.0,0.0,1,85,SURA CII.-DESIRE [XV.],Koran
15,3.0,6,5.0,6.0,5.0,7.0,13,4.0,3.0,10,243,SURA XCII.-THE NIGHT [XVI.],Koran
16,13.0,26,22.0,23.0,22.0,38.0,48,15.0,9.0,39,1088,SURA LXVIII.-THE PEN [XVII.],Koran
17,2.0,2,3.0,5.0,3.0,8.0,7,2.0,2.0,5,244,SURA XC.-THE SOIL [XVIII.],Koran
18,3.0,8,2.0,5.0,5.0,8.0,12,5.0,1.0,9,251,SURA CV.-THE ELEPHANT [XIX.],Koran
19,0.0,3,1.0,2.0,2.0,3.0,4,0.0,0.0,4,94,SURA CVI.-THE KOREISCH [XX.],Koran
20,0.0,3,1.0,2.0,4.0,3.0,10,0.0,1.0,6,175,SURA XCVII.-POWER [XXI.],Koran
21,0.0,3,1.0,2.0,4.0,2.0,6,1.0,2.0,5,157,SURA LXXXVI. THE NIGHT-COMER [XXII.],Koran
22,3.0,5,4.0,4.0,6.0,7.0,13,2.0,1.0,8,181,SURA XCI.-THE SUN [XXIII.],Koran
23,2.0,13,2.0,8.0,15.0,9.0,24,6.0,4.0,15,484,SURA LXXX.-HE FROWNED [XXIV.],Koran
24,1.0,4,3.0,8.0,6.0,7.0,12,2.0,2.0,10,204,SURA LXXXVII.-THE MOST HIGH [XXV.],Koran
25,2.0,4,3.0,4.0,4.0,5.0,7,3.0,2.0,7,220,SURA XCV.-THE FIG [XXVI.],Koran
26,2.0,3,1.0,2.0,1.0,2.0,5,1.0,1.0,4,66,SURA CIII.-THE AFTERNOON [XXVII.],Koran
27,7.0,7,3.0,13.0,9.0,13.0,19,7.0,0.0,18,396,SURA LXXXV.-THE STARRY [XXVIII.],Koran
28,1.0,2,1.0,3.0,4.0,2.0,5,1.0,2.0,4,100,SURA CI.-THE BLOW [XXIX.],Koran
29,1.0,4,4.0,4.0,5.0,6.0,10,3.0,4.0,6,96,SURA XCIX.-THE EARTHQUAKE [XXX.],Koran
30,2.0,2,4.0,8.0,6.0,7.0,10,2.0,4.0,7,195,SURA LXXXII.-THE CLEAVING [XXXI.],Koran
31,6.0,9,6.0,10.0,7.0,17.0,20,5.0,5.0,16,473,SURA LXXXI.-THE FOLDED UP [XXXII.],Koran
32,5.0,10,9.0,8.0,7.0,13.0,19,4.0,3.0,16,329,SURA LXXXIV.-THE SPLITTING ASUNDER [XXXIII.],Koran
33,2.0,2,2.0,5.0,2.0,5.0,6,0.0,0.0,5,124,SURA C.-THE CHARGERS [XXXIV.],Koran
34,10.0,11,8.0,17.0,9.0,19.0,31,7.0,5.0,20,601,SURA LXXIX.1-THOSE WHO DRAG FORTH [XXXV.],Koran
35,7.0,11,11.0,11.0,9.0,15.0,20,9.0,5.0,15,589,SURA LXXVII.-THE SENT [XXXVI.],Koran
36,5.0,6,2.0,6.0,9.0,12.0,29,4.0,3.0,21,599,SURA LXXVIII.-THE NEWS [XXXVII.],Koran
37,1.0,5,1.0,6.0,6.0,8.0,10,2.0,2.0,6,228,SURA LXXXVIII.-THE OVERSHADOWING [XXXVIII.],Koran
38,5.0,5,13.0,10.0,5.0,18.0,20,5.0,1.0,13,368,SURA LXXXIX.-THE DAYBREAK [XXXIX.],Koran
39,7.0,15,10.0,15.0,9.0,23.0,25,15.0,3.0,15,601,SURA LXXV.-THE RESURRECTION [XL.],Koran
40,10.0,9,8.0,9.0,11.0,14.0,23,7.0,4.0,17,461,SURA LXXXIII.-THOSE WHO STINT [XLI.],Koran
41,9.0,6,11.0,18.0,8.0,24.0,30,13.0,7.0,24,780,SURA LXIX.-THE INEVITABLE [XLII.],Koran
42,15.0,20,9.0,24.0,16.0,29.0,40,6.0,8.0,33,1054,SURA LI.-THE SCATTERING [XLIII.],Koran
43,8.0,24,15.0,23.0,22.0,27.0,45,10.0,8.0,35,777,SURA LII.-THE MOUNTAIN [XLIV.],Koran
44,14.0,26,19.0,15.0,28.0,35.0,52,18.0,12.0,29,1311,SURA LVI.-THE INEVITABLE [XLV.],Koran
45,12.0,30,13.0,26.0,32.0,34.0,64,12.0,12.0,50,1342,SURA1-LIII. THE STAR [XLVI.],Koran
46,3.0,11,4.0,9.0,15.0,13.0,29,5.0,2.0,21,561,SURA LXX.-THE STEPS OR ASCENTS [XLVII.],Koran
47,5.0,13,9.0,9.0,16.0,17.0,46,7.0,7.0,30,873,SURA LV.-THE MERCIFUL [XLVIII.],Koran
48,20.0,9,10.0,28.0,8.0,30.0,25,11.0,10.0,20,896,SURA LIV.-THE MOON [XLIX.],Koran
49,30.0,66,32.0,61.0,64.0,73.0,123,30.0,22.0,104,2366,SURA XXXVII.-THE RANKS [L.],Koran
50,4.0,12,7.0,15.0,13.0,23.0,25,11.0,5.0,25,555,SURA LXXI.-NOAH [LI.],Koran
51,2.0,19,7.0,12.0,16.0,12.0,33,5.0,3.0,23,532,SURA LXXVI.-MAN [LII.],Koran
