,book,from,seed,similarity,to
0,Gospel of Buddha,0,god,0.5086302161216736,1
1,Gospel of Buddha,1,god,0.5888564586639404,2
2,Gospel of Buddha,1,god,0.5086302757263184,0
3,Gospel of Buddha,1,god,0.5073664784431458,4
4,Gospel of Buddha,1,god,0.48861128091812134,5
5,Gospel of Buddha,1,god,0.4806448519229889,6
6,Gospel of Buddha,0,god,0.5019030570983887,7
7,Gospel of Buddha,7,god,0.7233978509902954,8
8,Gospel of Buddha,7,god,0.612786054611206,9
9,Gospel of Buddha,7,god,0.5769750475883484,10
10,Gospel of Buddha,7,god,0.5744251608848572,11
11,Gospel of Buddha,7,god,0.5459808707237244,12
12,Gospel of Buddha,0,god,0.47665488719940186,13
13,Gospel of Buddha,13,god,0.5013817548751831,14
14,Gospel of Buddha,13,god,0.4906999170780182,15
15,Gospel of Buddha,13,god,0.48980608582496643,16
16,Gospel of Buddha,13,god,0.47665488719940186,0
17,Gospel of Buddha,13,god,0.46479374170303345,18
18,Gospel of Buddha,0,god,0.46002352237701416,19
19,Gospel of Buddha,19,god,0.5777921676635742,20
20,Gospel of Buddha,19,god,0.548345685005188,21
21,Gospel of Buddha,19,god,0.522964358329773,22
22,Gospel of Buddha,19,god,0.49292150139808655,23
23,Gospel of Buddha,19,god,0.4614529311656952,24
24,Gospel of Buddha,0,god,0.4593963027000427,25
25,Gospel of Buddha,25,god,0.5245069265365601,26
26,Gospel of Buddha,25,god,0.46192067861557007,27
27,Gospel of Buddha,25,god,0.4593963027000427,0
28,Gospel of Buddha,25,god,0.45510023832321167,29
29,Gospel of Buddha,25,god,0.44957631826400757,30
30,Gita,0,god,0.44556349515914917,1
31,Gita,1,god,0.5327861905097961,2
32,Gita,1,god,0.5209202766418457,3
33,Gita,1,god,0.49310189485549927,4
34,Gita,1,god,0.47006985545158386,5
35,Gita,1,god,0.44556349515914917,0
36,Gita,0,god,0.413322776556015,7
37,Gita,7,god,0.6326412558555603,8
38,Gita,7,god,0.6108781099319458,9
39,Gita,7,god,0.5903007984161377,10
40,Gita,7,god,0.5610638856887817,11
41,Gita,7,god,0.5590903759002686,12
42,Gita,0,god,0.3730725347995758,13
43,Gita,13,god,0.561063826084137,7
44,Gita,13,god,0.5437328815460205,15
45,Gita,13,god,0.5009446144104004,16
46,Gita,13,god,0.4769101142883301,17
47,Gita,13,god,0.4742012917995453,18
48,Gita,0,god,0.34617406129837036,19
49,Gita,19,god,0.44183140993118286,20
50,Gita,19,god,0.42982906103134155,21
51,Gita,19,god,0.40561729669570923,11
52,Gita,19,god,0.3879724144935608,23
53,Gita,19,god,0.38109657168388367,24
54,Gita,0,god,0.34159356355667114,25
55,Gita,25,god,0.6068446040153503,26
56,Gita,25,god,0.5288312435150146,27
57,Gita,25,god,0.49520838260650635,28
58,Gita,25,god,0.49503180384635925,29
59,Gita,25,god,0.4806293547153473,30
60,King James Bible,0,god,0.8204253911972046,1
61,King James Bible,1,god,0.8204253911972046,0
62,King James Bible,1,god,0.6296732425689697,3
63,King James Bible,1,god,0.5995562076568604,4
64,King James Bible,1,god,0.5837092399597168,5
65,King James Bible,1,god,0.5292733907699585,6
66,King James Bible,0,god,0.5702905058860779,7
67,King James Bible,7,god,0.5702905058860779,0
68,King James Bible,7,god,0.5364810824394226,9
69,King James Bible,7,god,0.4927217960357666,10
70,King James Bible,7,god,0.46539318561553955,11
71,King James Bible,7,god,0.454632967710495,12
72,King James Bible,0,god,0.5385111570358276,13
73,King James Bible,13,god,0.5480115413665771,9
74,King James Bible,13,god,0.5385111570358276,0
75,King James Bible,13,god,0.5015865564346313,16
76,King James Bible,13,god,0.48530638217926025,17
77,King James Bible,13,god,0.4791879653930664,18
78,King James Bible,0,god,0.5160770416259766,19
